price_usd,brand,model_family,condition_score,release_year,cpu_brand,cpu_family,cpu_generation,cpu_suffix,processor_speed_ghz,gpu_vendor,gpu,ram_gb,storage_type,ssd_gb,hdd_gb,storage_capacity_gb,has_dual_storage,screen_size_inch,resolution_width,resolution_height,os,has_touchscreen,has_backlit_keyboard,has_bluetooth,has_webcam,has_wifi
370,lenovo,thinkpad,2,2020,intel,core_i5,intel_10,unknown,1.6,intel,Intel UHD Graphics,8,ssd,256,0,256,0,13.3,1920,1080,windows,1,1,0,0,0
270,lenovo,flex,2,2022,intel,core_i3,intel_12,unknown,1.2,intel,Intel UHD Graphics,8,ssd,256,0,256,0,14,1920,1200,windows,1,0,1,1,1
384.4,dell,latitude,3,-1,intel,core_i5,intel_4,unknown,2.6,intel,Intel HD Graphics 4400,-1,ssd,512,0,512,0,14,1366,768,windows,0,0,0,0,1
24.25,dell,precision,3,-1,other,other,unknown,unknown,-1,unknown,Unknown,-1,unknown,-1,-1,-1,-1,15.6,-1,-1,unknown,0,0,0,0,0
470.5,dell,latitude,3,-1,intel,core_i5,intel_6,unknown,2.8,intel,Intel HD Graphics 520,-1,ssd,256,0,256,0,12.5,1920,1080,windows,1,1,1,1,1
89.99,acer,swift,3,-1,intel,celeron,unknown,unknown,1.1,intel,Intel UHD Graphics 600,4,ssd,128,0,128,0,14,1920,1080,windows,0,0,1,1,1
419.99,kurietim,other,6,-1,intel,celeron,unknown,unknown,-1,unknown,Unknown,8,ssd,256,0,256,0,14.1,-1,-1,windows,0,0,0,0,0
199.99,microsoft,surface,2,-1,intel,core_i7,intel_7,unknown,2.5,intel,Intel HD Graphics,8,ssd,256,0,256,0,13.5,2256,1504,windows,1,1,1,1,1
389.95,hp,other,6,2021,intel,core_i5,intel_11,unknown,2.4,intel,Intel Iris Xe Graphics,8,ssd,256,0,256,0,15.6,1920,1080,windows,0,0,1,1,0
405.53,fujitsu,lifebook,3,-1,intel,core_i5,intel_6,unknown,3,intel,Intel HD Graphics 520,-1,ssd,256,0,256,0,13.3,1366,768,windows,0,0,1,1,1
125,dell,latitude,3,-1,intel,core_2,unknown,unknown,2,unknown,Unknown,3,hdd,0,128,128,0,15.4,1280,800,windows,0,0,0,0,1
405.53,fujitsu,lifebook,3,-1,intel,core_i5,intel_6,unknown,3,intel,Intel HD Graphics 520,-1,ssd,256,0,256,0,13.3,1366,768,windows,0,0,1,1,1
140,hp,chromebook,2,2021,intel,pentium,unknown,unknown,1.1,intel,Intel UHD Graphics 605,4,ssd,64,0,64,0,14,1366,768,chrome_os,0,0,1,1,1
759.04,hp,probook,2,-1,unknown,unknown,unknown,unknown,-1,unknown,Unknown,8,ssd,256,0,256,0,13,1920,1080,windows,0,1,1,1,1
1197.49,lenovo,ideapad,2,2023,intel,core_i7,intel_13,unknown,1.7,intel,Intel Iris Xe Graphics,16,ssd,512,0,512,0,14,1920,1200,windows,0,0,1,0,1
400,dell,other,3,-1,intel,other,unknown,unknown,-1,unknown,Unknown,-1,unknown,-1,-1,-1,-1,15.6,-1,-1,unknown,1,0,0,0,0
461.72,lenovo,thinkpad,3,-1,intel,core_i5,intel_3,unknown,3,intel,Intel HD Graphics 4000,-1,hybrid,128,512,640,1,14,1366,768,windows,0,0,1,1,1
487.6,dell,latitude,3,-1,intel,core_i5,intel_6,unknown,2.8,intel,Intel HD Graphics 520,-1,ssd,256,0,256,0,12.5,1920,1080,windows,1,0,1,1,1
269.45,fujitsu,lifebook,3,-1,intel,core_i5,unknown,unknown,2.5,unknown,Unknown,4,unknown,-1,-1,-1,-1,14.1,-1,-1,unknown,0,0,0,0,0
436.12,fujitsu,lifebook,3,-1,intel,core_i3,intel_4,unknown,3,intel,Intel HD Graphics 4600,-1,ssd,256,0,256,0,13.3,1366,768,windows,0,0,1,1,1
